date,open,high,low,close,volume
2025-05-05,0.02503,0.02561,0.02456,0.02502,1473812.49
2025-05-06,0.02502,0.02521,0.02389,0.02486,2623257.17
2025-05-07,0.02486,0.02546,0.02429,0.02487,2400826.93
2025-05-08,0.02487,0.02871,0.0248,0.0287,4612402.51
2025-05-09,0.0287,0.0303,0.02848,0.03004,4668460.39
2025-05-10,0.03004,0.03237,0.02974,0.03233,4477543.69
2025-05-11,0.03233,0.03259,0.0301,0.03121,4053147.88
2025-05-12,0.03121,0.03398,0.02993,0.0309,6607868.63
2025-05-13,0.0309,0.03249,0.02926,0.03191,4346788.18
2025-05-14,0.03191,0.03299,0.03009,0.03032,5119469.77
2025-05-15,0.03032,0.03085,0.02802,0.02882,4805225.2
2025-05-16,0.02882,0.02995,0.02829,0.02855,2809239.47
2025-05-17,0.02855,0.02864,0.02725,0.02771,3103168.44
2025-05-18,0.02771,0.02948,0.02716,0.02902,3075877.15
2025-05-19,0.02902,0.02919,0.02675,0.02804,2569068.88
2025-05-20,0.02804,0.02895,0.02725,0.02853,3976283.74
2025-05-21,0.02853,0.02969,0.02795,0.02916,3002407.2
2025-05-22,0.02916,0.0307,0.02915,0.03067,3558280.86
2025-05-23,0.03067,0.03138,0.02778,0.02798,4659181.83
2025-05-24,0.02798,0.0284,0.02729,0.02748,2019581.27
2025-05-25,0.02748,0.02758,0.02616,0.02739,2049981.65
2025-05-26,0.02739,0.02825,0.02722,0.02749,2499936.75
2025-05-27,0.02749,0.02866,0.02679,0.02758,2870072.99
2025-05-28,0.02758,0.0282,0.0264,0.02722,1994756.21
2025-05-29,0.02722,0.02768,0.02592,0.02601,2071402.74
2025-05-30,0.02601,0.02617,0.02374,0.02397,2476600.7
2025-05-31,0.02397,0.02447,0.02313,0.02418,1969342.74
2025-06-01,0.02418,0.02445,0.0236,0.02434,1052331.78
2025-06-02,0.02434,0.02489,0.02381,0.02484,1304830.11
2025-06-03,0.02484,0.02557,0.0245,0.02467,1683259.84
2025-06-04,0.02467,0.02512,0.02359,0.02372,1498664.14
2025-06-05,0.02372,0.02437,0.02227,0.02264,2911965.81
2025-06-06,0.02264,0.02404,0.02258,0.02353,1574609.75
2025-06-07,0.02353,0.02451,0.02346,0.02409,811628.64
2025-06-08,0.02409,0.02453,0.02376,0.02411,837849.21
2025-06-09,0.02411,0.02528,0.02363,0.02523,1045390.79
2025-06-10,0.02523,0.02627,0.02476,0.02627,1592963.72
2025-06-11,0.02627,0.02733,0.0247,0.02499,2162036.2
2025-06-12,0.02499,0.0251,0.02335,0.02344,1626602.74
2025-06-13,0.02344,0.02344,0.02183,0.02263,2432387.44
2025-06-14,0.02263,0.02263,0.02166,0.02206,1017851.32
2025-06-15,0.02206,0.0225,0.02187,0.02228,694139.95
2025-06-16,0.02228,0.0233,0.02201,0.02221,1095124.74
2025-06-17,0.02221,0.02267,0.02105,0.02142,1393660.55
2025-06-18,0.02142,0.02199,0.02088,0.02181,1178958.9
2025-06-19,0.02181,0.02201,0.02124,0.02169,916651.97
2025-06-20,0.02169,0.02208,0.02052,0.02083,1189793.83
2025-06-21,0.02083,0.02129,0.0195,0.02004,1374916.61
2025-06-22,0.02004,0.02021,0.01823,0.01933,2600487.96
2025-06-23,0.01933,0.02155,0.01914,0.02148,2304869.69
2025-06-24,0.02148,0.022,0.02103,0.02159,1740241.44
2025-06-25,0.02159,0.02166,0.02091,0.02104,1311298.76
2025-06-26,0.02104,0.02159,0.02092,0.02099,383209.69
